0,1,2,3,4,5,6,7,8,9,10,10_phase
-1.18,4.54,0.40,0.22,,ice,42.6,59.4611.06,6.90,,,
-2.60,9.75,0.91,0.50,,II,44.5,60.8411.64,7.31,,,II
-4.6,15.43,1.52,0.85,,II,45.4,61.9412.13,7.66,,,II
-7.7,21.74,2.30,1.30,,II,45.6,62.5112.39,7.85,,,II
-12.0,27.34,3.09,1.77,,II,45.6,63.1212.68,8.06,,,II
-15.8,31.53,3.76,2.16,,II,45.4,,,B,+,C
-20.0,35.12,4.39,2.54,,II,25,63.1712.70,8.07,,cc,
-24.0,38.33,5.00,2.92,A,+ ice,30,63.1912.71,8.08,,,II
-28.2,40.25,5.40,3.17,B c+,ice,35,63.3312.77,8.13,,,II
-8.8,42.92,6.00,3.54,,B,40,63.4112.81,8.16,,,II
0,44.26,6.31,3.74,,II,45,63.5612.89,8.21,,,II
10,46.83,6.95,4.14,,II,50,63.8013.00,8.30,,,C
20,49.62,7.71,4.63,,II,,,,,,II
25,51.42,8.23,4.98,,"""",60 -7.7,64.08 c 43.8513.146.21,8.403.67,,,A
30,SJ . OB,8.75,5.32,,II,0,47.627.16,4.28,,,II
35,55.43,9.54,5.85,,II,5.0,49.807.76,4.67,,,II
40,57.51,10.30,6.37,,II,8.8,52.238.43,5.15,,,II
,,,,,,12.3,57.7210.00,6.43,,,II
