0,1,2,3,4,5,6,7,8
1,4 . 96,0 . 43,376 . 6  ±,0 . 2,383 . 4 ±,,0.4,2 . 5
1,9 . 98,0 . 92,375 . 0  ±,0 . 5,383 . 7 ±,,0 . 2,"2 , 5"
1,20.0,2 . 08,374 . 0  ±,0.2,383 5 ±,,0 . 2,2 . 5
1,3oa1,3 . 59,376.5 ±,0 . 3,384 d.,,,2 . 5
1,34,4 . 2 9,384 d,,e,,,e
1,40 . 0,4 . 29,e,,e,,,e
1,50.0,8 . 33,e,,e,,,e
1,60 . 1,12 . 55,e,,e,,,e
1.20,4.55 6,0 . 38,350 6,,,,,2
1.20,5 . 13,0.43,34 7.7 ±,0.5,378 . 4  ±,,0 . 5,2
1 . 20,10 . 0,0 .8 9,340 . 3  ±,"0 , 4",380 . 9  ±,,0 . 5,2
1 . 20,20 . 1,2 . 01,340 . 7 ±,0.3,382 . 9 ±,,0 . 5,2
1 . 20,30 . 3,3 . 4 7,345 . 7 ±,0 . 1,383 . 5  ±,,"0 , 6",2
1 . 20,39 . 86,5 . 2 7,353 . 5 ±,0 . 1,380 ± 2,,,2
1 . 20,40 . 6,5 . 45,350 6,,,,,2
1 . 20,soi,8 . 07,369 . o  ±,"0 , 5",380 ± 2,,,2
1 . 20,55,9.75,382 d,,382 d,,,2
