0,1,2,3,4,5,6,7,8,9
273 . 2,10.48,l 1/0,,,298 . 2,20 . 30,13,1/0,
"273 , 2",12.48,2 l/0,,,298 . 2,19 . 92,4,1/1,
2 73.2,12 . 6 8,4 1 /0,,,298.2,19 . 93,19,1 /1,
"273 , 2","12 ,88",6 1/0,,,298 . 2,20.3,21,1/0,
273 . 2,"12,15",15 1 /0,,,298 . 2,20 . 21,23,1/ 1,
273.2,11 . 8,5 1/1,,,298 . 2,20 . 4 2,"12 , 13",2 /0,
"273 , 2","12 , 2",3 1/0,,,"299 , 2",20.00,3,1/0,
273.2,12 . 7,4 1 /0,,,300.2,20. 00,5,1/0,
2 73 . 2,12.41,19 1/0,,,303 . 2,21 . 90,6,1/1,
"2 73 , 2","12 , 30",24 1/0,,,303 . 2,21 . 0,3,1/0,
27 4 . 0,12 . 00,5 1/1,,,305.0,22.00,5,1/0,
"278,2",14 . 00,6 1/0,,,305.4,22 . 00,3,1/0,
283. 2,15.50,6 1/0,,,308.2,23.65,6,1/1,
283.2,"14 , 95",15 1/1,,,308 . 2,2 2 . 90,15,1/0,
283.2,15,5 1 /1,,,313 . 2,25 . 10,6,1/1,
283. 2,14 . 9,3 1/l,,,313 . 2,25 . 00,2 0,1/1,
283.2,15.20,24 1/0,,,313 . 2,27.15,2 2,1/0,
286 . 8,16 . 00,5 1/1,,,31:l . 2,27 .12,22,1/0,
287.3,16 . 00,3 1/1,,,318 . 2,26 . 90,6,1/1,
288 . 2,16.78,2 1 /0,,,323.2,29.26,1,1/1,
"293 , 0",18.00,5 1/1,,,323.2,29 . 15,"4 ,16",2 /2,
"293 , 2","18 , 4 5",6 1/1,,,"323,2",29.00,"6 , 21",2 / 2,
293.2,18 . 20,15 1/1,,,323.2,29 . 42,14,1/0,
293 . 2,18.2,5 1 / 1,,,323 . 2,29 . 1,4,1/1,
"293,2",18 . 50,18 1/0,,,323 . 2,28.70,19,1/1,
293 . 2,17 . 8,3 1 /0,,,333. 2,33.40,6,1/0,
"293 , 2","17,73",2 1 /0,,,333.2,32.37,20,1/0,
"293,2",18.04,20 1/0,,,"343 , 2",36.68,1,1/1,
"293 , 2",18.00,24  1/0,,,"343 , 2",36.65,1,1/1,
"293 , 8","18 ,00",3 1/0,,,"343, 2",3 7.05,6,1/1,
298 . 2,19.87,1 1 /1,,,348.2,39.20,21,1 /1,
298.2,20. 15,1 1/1,,,348.2,38.61,19,l/1,
298 . 2,"19,90",4 1/1,,,353.2,4 1.30,6,1 / 1,
298.2,20.04,6 1/1,,,"353 , 2",40. 75,20,1/1,
"298 , 2",19.80,15 1/1,,,356.2,41.38,1,1/0,
298 . 2,"20,07",2 1 / 1,,,356.2,41.9 2,1,1/1,
"298 , 2",20.49,16 1/0,,,"363 , 2",45.5,6,1/1,
,,,,,"378 , 3",52.7,17,1/1,
Table,"I I ,  Values",for  the parameters,,o f,equation,[ l ) .,,,
,A,B,,,,C,,,
,,,,,,,0,,0
value,,value,,,value,,,,
,,,,,,a,,,
,,,,,,(J,value,,value
