0,1,2,3,4,5,6,7,8,9
s ect KH2Po4,,,,,,,,,
so1idc. No mass% concn 4,,b mol/kg,,mol/kg b,,mass%,a concn,,phase
,,,,temp o C 10° C o,,,,,
b in .  O 0,,0,,8.41000.52,,91.6,10591,,A
13.82 5.91,,0.31,,7.174.090.45,,89.1,9157,,I I
28.447.62,,0.21,,5.852.380.38,,85.8,7558,,""""
511.459.42,,1.00,,5.140.580.35,,83.5,6526,,I I
14.364.06,,1.29,,4.83 6.00.34,,81.9,6060,,A + B
413.467.12,,1.19,,4.332.880.29,,82.3,6257,,B
314.078.46,,1.23,,2.421.540.16,,83.6,7138,,
bin.14.9100,,1.28,,00 0,,85.1,8746,,""""
,,,,temp . = 20 ° C .,,,,,
b in .  O O,,0,,9.81000.62,,90.2,8939,,A
13.722.58,,0.30,,8.57 7.420.55,,87.8,7859,,I I
28.342.25,,0.72,,7.257.75  0.48,,84.5,6605,,I I
511.252.56,,0.99,,6.547.440.45,,82.3,5855,,I I
16.066.66,,1.49,,5.233.340.37,,78.8,5028,,A + B
416.371.08,,1.50,,4.228.920.30,,79.5,5316,,B
517.081.58,,1.54,,2.418.420.17,,80.6,5813,,
"bin,17.8100",,1.59,,00 0,,82.2,7018,,""""
,,,,temp . = 30 ° C .,,,,,
"bin,O 0",,0,,11.41000.73,,88.6,7566,,A
13.618.57,,0.30,,10.081.430.66,,86.47,6850,,I I
28.238.46,,o .72,,8.461.540.57,,83.4,5934,,I I
511.148.19,,1.00,,7.651.810.53,,81.3,5436,,I I
615.059.78,,1.40,,6.440.220.40,,78.6,4742,,I I
18.668.0,,1.82,,6.632.0  0.so,,75.8,4207,,A + B
419.17 5.26,,1.82,,4.024.740.29,,76.9,4589,,B
519.885.58,,1.86,,2.214.120.16,,78.0,5094,,
bin .21100,,1.95,,00 0,,79,5693,,""""
