0,1,2,3,4,5,6,7,8,9,10,11
°t/,C,mass%,mass%,phase,°t/,C,mass%,mass%,,phase,
2525,,"43,23 5,5","22,221.2","Rb (H,D ) l04",so so,,"42,936,5","23.222,2",,"Rb (H,D) lo",4.0
25,,32.3,20.3,,so,,34. S,22.4,,,
25,,31.0,20.1,,so,,"33,5",22.3,,,
25,,28.8,19.9,,so,,32.0,22.3,,,
25,,26.4,20.8,,so,,31.6,22.2,,,
25,,"28,2","29,2",,so,,29.9,22.5,,,
25,,"28,9",32.6,,so,,"29,6","23,2",,,
25,,"28,8","32,9",,so,,"30,5","30,2",,,
25,,"29,4","35,9",,so,,"30,8","33,1",,,
25,,"26,1",38.2,"Rb (H,D  so 5 (P033.44 ) 2",so,,31.13 1.5,36.5,,,
