0,1,2,3,4,5,6,7,8
a mass% a,b mo1% mol/ kl,mass%,,mo1%,mol/kl,index,pH,phase
---- 97.4,---- 77.5180 -----,-0-.3--68-,,0--. -0-8-1,"-0-,-045  --",1.4411.450,"13.9513,80",B
87.6,37.3833.4,0.054,,0.054,0.054,1.445,13.90,C
79.2,24.2918.0,0.061,,0.046,0.036,1.445,13.81,I I
72.0,17.5312.1,0.063,,"0,035",0.028,1.445,13.48,I I
68.4,"15.4510,2","0,117",,0.067,"0,046",1.444,13.21,I I
61.4,"11.667,5",0.126,,"0,062","0,040",1.445,12.97,I I
57.0,"9.77 6,3",0.173,,0.079,"0,050",1.443,12.88,I I
56.4,8.086.1,0.176,,"0,086",0.050,1.441,"12,88",A + B
54.6,"9.065,7",0.171,,0.072,"0,047",1.440,"12,70",
53.4,"8.86  5,4",0.164,,"0,070",0.044,1.435,12.65,I I
47.8,7.074.3,"0,159",,"0,061","0,038",1.434,12.50,I I
23.4,"2,891.4",0.187,,0.052,0.030,1.430,12.46,I I
20.4,2.001.2,0.211,,"0,055","0,033",1.425,12.41,I I
10.2,"0,79 0.5",0.298,,0.069,0.041,1.420,12.35,I I
6.6,0.570.3,"0,328",,0.076,"0,044",1.410,12.22,I I
