0,1,2,3,4,5,6,7,8
mass%,concnCl,mol/kg b mass%,concnCl,b mol/kg,mass%,solid phase,,
50.71,87.24,4.85 0.oo,0.oo,0.oo,49.29,Klo 7H,0,
49.50,86.41,;4.801.93,8.40,0.47,48.57,41 2,,
43.50,"82,28","4.5711,68",55.10,"3,06",44.82,I I,,
43.39,83.58,4.6412.59,60.48,3.36,44.02,I I,,
40.65,80.86,4.491 6.72,82.92,4.61,42.63,I I,,
38.70,80.62,4.4820.60,107.02,5.96,40.70,I I,,
36.39,83.15,4.6224.67,134.00,7.44,38.94,I I,,
33.43,76.39,4.2429.46,167.87,9.33,37.11,I I,,
31.19,"73,57",4.0932.87,193.41,10.75,"35,94",K Po · 7 o +,KN0,
31.09,"73,23","4.0732,90",192.77,10.71,"36,01",34 2,,2.0
31.08,"73,28","4,0732.96",194.11,10.78,35.96,I I,,
31.08,73.34,4.0733.00,194.43,"10,80",35.92,I I,,
28.62,69.07,3.8436.25,218.23,12.12,35.13,KN0,,
24.93,62.00,3.4440.99,254.37,14.13,34.08,I I  2,,
20.37,52.69,2.934 6.85,303.97,16.89,32.78,I I,,
16.32,44.70,2.4851.20,333.68,18.54,32.48,I I,,
12.63,"35,03","1,955 6.81","393,15",21.84,30.56,I I,,
8.10,"24,26",1.3563.55,474.09,26.34,28.35,I I,,
"4,98 -----","-1-5-,-81-","0,88 ---- 68.327 5.92",541.08666.81,30.0637.05,26.7024.08,I I  I I,,
