0,1,2,3,4,5,6,7
27 3.2,,0.0021371,,,,0.12,1.66
278.2,,0.0037242,,,,0.21,2.87
283.2,,0.0055018,,,,0.31,4.19
288.2,,0.0074979,,,,0.42,5.63
293.2,,0.010172,,,,0.57,7.51
298.2,,0.014714,,,,0.83,10.55
303.2,,0.024149,,,,1.37,16.34
308.2,,0.047 504,,,,2.77,28.25
309.45 a,,0.058234,,,,3.43,32.80
,,,Na2HP04,• 7H,,20,
309.45,,0.058234,,,,3.43,32.80
311.2,,0.058862,,,,3.47,33.06
313.2,,0.064287,,,,3.82,35.17
315.2,,0.070110,,,4.19,,37.32
317.2,,0.07 6443,,,4.60,,39.53
319.2,,0.083431,,,,5.06,41.82
321.2b,,0.091254,,,,5.58,44.23
321.6,,0.092892,,,5.69,,44.71
