0,1,2,3,4,5,6,7
2.9,2.18,"0,20",,44.6,30.24,3.15,67.58
"5,8","4,28","0,40",,"44,9","29,79",3.18,"65,93"
"10,0",7.18,0.69,,"45,6",29.30,"3,25","63,52"
15.1,10.50,1.05,,46.2,"28,64",3.31,60.85
22.2,14.79,1.57,,"47,2",27.86,3.42,57.34
17.9,12.27,1.25,,45.8,27.98,3.30,59.75
17.8,12.24,1.24,,44.9,27.60,3.23,60.16
"20,1",13.70,1.40,,"43,6","26,63",3.14,59.67
20.5,"13,93",1.43,,"43,8",26.66,3.16,59.41
"19,3",13.46,1.31,,37. C,24.06,"2,71",62.48
"20,3",14.10,1.38,,37.3,23.67,2.68,62.23
22.5,15.87,1.49,,29.2,19.25,2.09,64.88
23.7,16.74,1.56,,27.0,17.92,1.93,65.35
23.9,16.96,1.56,,"25,4","17,01",1.81,66.03
26.4,18.75,1.71,,21.2,14.36,1.51,"66,88"
28.4,"20,06",1.83,,"19,5",13.18,"1,39","66,76"
29.3,"20,88",1.87,,"16,0",11.01,1.14,68.11
"29,5","20,99",1.88,,16.1,"11,06",1.14,67.95
30.9,21.96,1.96,,14.2,9.79,1.01,68.25
35.4,"25,16",2.20,,7.6,5.31,"0,54","69,53"
34.6,24.72,"2,15",,7.6,5.34,"0,54",69.93
48.9,32.41,3.01,,3.0,1.97,0.21,"65,61"
"56,0",35.82,3.42,,"0,5","0,32","0,04",63.86
,,temp .,•,250 ° C .,,,
2.9,2.16,0.20,,46.6,31.17,3.29,66.67
"6,0",4.38,0.41,,47.4,30.90,"3,36",64.72
8.1,"5,82","0,56",,"48,9",31.15,3.48,63.04
8.0,5.76,"0,55",,48.5,30.99,3.45,63.25
8.5,"6,10","0,59",,"48,5","30,89",3.45,63.01
.9.3,"6,70","0,64",,45.9,"29,57","3,27",63.73
8.4,"6,15","0,57",,"42,7","28,26",3.03,"65,59"
8.5,6.30,"0,57",,38. S,26.34,2.75,67.36
8.3,"6,24","0,55",,"35,6",24.74,"2,52",69.02
"8,0","6,24","0,52",,27.3,20.18,1.93,73.58
"7,6","5,99",0.49,,"25,6",19.22,1.81,74.79
7.8,6.32,"0,49",,"19,9",15.58,1.40,78.09
7.6,"6,29","0,48",,16.3,13.16,1.15,80.55
7.4,"6,30","0,46",,11.9,"9,97","0,84","83,72"
7.6,"6,52","0,47",,10.7,9.04,"0,75",84.44
7.4,"6,45",0.46,,!) .5,7.33,"0,60",86.22
7.8,6.86,0.48,,"6,7",5.85,0.47,87.28
8.8,7.83,"0,54",,4.1,3.63,"0,29",88.54
8.1,7.33,o .49,,2.7,2.44,"0,19",90.24
"8,5","7,69","0,52",,2.2,1.99,"0,15",90.32
"9,5","8,60","0,58",,1.1,0.99,0.oe,90.41
8.3,"7,63","0,50",,0.5,"0,46",0.04,91.91
8.6,"7,92","0,52",,trace,----,----,92.08
