0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
density g/cm 3,Na mass% HP02,,4,c mass% o 3,H 6,,0,,,H mass% 2o,,,density g /cm 3,,Na ma ss% H2,HP0,4.0,,cmass% 3 H,6.0,o,,,mass%,2.0,,,,solida phase
0.7922,<vO,,,100,,,,,,0,,,----,,----,,,,----,,,,,----,,,,,A
o .793,<vl0- 7 -6,,,95.60,,,,,,4.40,,,----,,----,,,,----,,,,,----,,,,,B
0.821,<v10_ 6,,,84.30,,,,,,15.70,,,----,,----,,,,----,,,,,----,,,,,I I
0.8331,<vlO,,,75.79,,,,,,24.21,,,1.328,,40.02,,,,1.24,,,,,58.74,,,,,C
0.8612,0.043,,,61.29,,,,,,"38,47",,,1.311,,38.75,,,,2.04,,,,,59.21,,,,,I I
"0,9097",0.602,,,38.97,,,,,,60.93,,,1.321,,38.52,,,,1.98,,,,,59.50,,,,,I I
0.9524,2.170,,,23.84,,,,,,73.99,,,1.307,,38.21,,,,1.58,,,,,60.21,,,,,I I
,,,,,,,,,,,,,1.304,,37.21,,,,----,,,,,62.79,,,,,I I
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The solid,phases,,are :,,A,,=,,,Na HP0,solu tions 4 ;,,B = Na HPD · 2H,,0; C,are,,,supersaturated,,,,,,,,,,
which,solidified when,,,,,,s eed2ed.,,,,,,24,2.0,,,,,,,,,,,,,,,
