0,1,2,3,4,5,6,7,8
1,----,----,57.17,14.48,"42,83","85,52",,A
2,1.64,"0,65",58.01,15.31,40.35,84.04,,I I
3,3.78,1.58,58.81,16.37,37.78,82.05,,I I
4,4.89,2.12,59.57,17.15,35.54,80.73,,I I
5,5.06,2.20,59.50,17.16,35.44,80.64,A,+
6,5.75,2.67,62.01,19.09,32.24,78.24,,bB
7,5 ; 51,"2,52",61.60,18.70,32.89,78.78,,I I
8,"5,27","2,37","61,11",18.23,"33,62",79.40,,I I
9,4.93,2.12,58.92,16.76,36.15,81.12,,
10,4.38,1.76,56.12,14.99,39.50,83.25,,I I
11,4.33,1.73,55.87,14.85,39.80,83.42,,I I
12,5.30,1.95,50.19,12.26,44.51,85.79,,I I
13,6.05,2.17,47.93,11.41,46.02,86.42,,I I
14,8.15,"2,88",45.02,10.55,46.83,86.57,,I I
15,10.37,3.70,43.6,10.33,46.01,85.97,B,+ C
16,10.54,3.77,43.69,10.31,45.97,85.92,,I I
17,10.92,4.02,45.04,11.01,44.04,84.97,,C b
18,10.22,3.53,41.76,9.58,48.02,86.69,,C
19,8.93,2.78,35.92,7.42,55.15,89.80,,I I
20,8.17,2.39,32.30,6.28,59.53,91.33,,I I
21,6.85,1.75,22.48,3.81,70.67,"99,44",,I I
22,5.75,1.35,15.75,2.42,78.50,96.23,,I I
